Acquisition Date,DIV,Genotype,Dish,Trial,Magnification,Chamber,Neuron,FPS,Bitdepth,Peak Num,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End
mm/dd/yyyy,,WT,,,20X,Microwell,13,1,16,2,356,0.725467,0.199699,10.154466,0.045452,0.008261,0.053887,-0.017207,0.014037,-0.03891,0.003663,2.342024,0.36239,0.738099,0.309536,0.249201,-0.266424,-0.00153,0.037469,1.056502,0.389413
mm/dd/yyyy,,WT,,,20X,Microwell,14,1,16,1,84,1.485658,0.60756,15.266102,0.023011,0.015634,0.047036,-0.06202,0.034583,-0.094528,0,1.485658,0.613413,0.899095,0.168202,0.157781,-0.096418,-0.001163,0.028135,1.182137,0.674989
mm/dd/yyyy,,WT,,,20X,Microwell,14,1,16,2,240,0.976619,0.195976,21.853313,0.015748,0.009799,0.033013,-0.028946,0.031721,-0.096418,0.00641,1.485658,0.613413,0.899095,0.168202,0.157781,-0.096418,-0.001163,0.028135,1.182137,0.674989
mm/dd/yyyy,,WT,,,20X,Microwell,14,1,16,3,312,0.910532,0.093583,9.906382,0.038856,0.021402,0.052279,-0.007179,0.002361,-0.009023,0.013889,1.485658,0.613413,0.899095,0.168202,0.157781,-0.096418,-0.001163,0.028135,1.182137,0.674989
mm/dd/yyyy,,WT,,,20X,Microwell,14,1,16,4,343,0.945161,0.244079,5.875749,0.157781,0,0.157781,-0.034771,0.005186,-0.040725,0.032258,1.485658,0.613413,0.899095,0.168202,0.157781,-0.096418,-0.001163,0.028135,1.182137,0.674989
mm/dd/yyyy,,WT,,,20X,Microwell,15,1,16,1,72,2.906945,2.17827,7.235657,0.409053,0.324665,0.777928,-0.135515,0.100197,-0.232356,0,2.906945,0.645398,0.899528,0.260808,0.777928,-0.379355,-0.00115,0.062474,1.174028,0.672539
mm/dd/yyyy,,WT,,,20X,Microwell,15,1,16,2,343,0.946982,0.272955,4.596203,0.149247,0,0.149247,-0.0642,0.052926,-0.101624,0.00369,2.906945,0.645398,0.899528,0.260808,0.777928,-0.379355,-0.00115,0.062474,1.174028,0.672539
mm/dd/yyyy,,WT,,,20X,Microwell,16,1,16,1,73,1.23439,0.248499,9.20123,0.029252,0.033823,0.075889,-0.029505,0.024493,-0.056435,0,1.23439,0.709031,0.903043,0.106313,0.098704,-0.077527,-0.001024,0.022328,1.183414,0.736847
mm/dd/yyyy,,WT,,,20X,Microwell,16,1,16,2,144,1.020976,0.120456,1.738284,0.055717,0,0.055717,-0.06474,0,-0.06474,0.014085,1.23439,0.709031,0.903043,0.106313,0.098704,-0.077527,-0.001024,0.022328,1.183414,0.736847
mm/dd/yyyy,,WT,,,20X,Microwell,16,1,16,3,343,0.913278,0.13945,6.416564,0.034927,0.046509,0.067814,-0.031762,0.039899,-0.077527,0.005025,1.23439,0.709031,0.903043,0.106313,0.098704,-0.077527,-0.001024,0.022328,1.183414,0.736847
mm/dd/yyyy,,WT,,,20X,Microwell,18,1,16,1,67,1.07177,0.149277,6.049917,0.046655,0.035518,0.07177,-0.055652,0.005035,-0.059212,0,1.192057,0.7335,0.910115,0.089564,0.099679,-0.07904,-0.001012,0.026637,1.192057,0.750653
mm/dd/yyyy,,WT,,,20X,Microwell,18,1,16,2,75,1.067954,0.113197,10.731081,0.032345,0.024569,0.060714,-0.009801,0.010914,-0.025806,0.125,1.192057,0.7335,0.910115,0.089564,0.099679,-0.07904,-0.001012,0.026637,1.192057,0.750653
mm/dd/yyyy,,WT,,,20X,Microwell,18,1,16,3,165,1.010064,0.062998,7.905499,0.059633,0,0.059633,-0.020488,0.012625,-0.033527,0.011111,1.192057,0.7335,0.910115,0.089564,0.099679,-0.07904,-0.001012,0.026637,1.192057,0.750653
mm/dd/yyyy,,WT,,,20X,Microwell,18,1,16,4,343,0.919458,0.188362,5.552288,0.060639,0.05521,0.099679,-0.064139,0.019926,-0.078229,0.005618,1.192057,0.7335,0.910115,0.089564,0.099679,-0.07904,-0.001012,0.026637,1.192057,0.750653
mm/dd/yyyy,,WT,,,20X,Microwell,18,1,16,5,388,0.864121,0.058762,24.342372,0.018371,0.017456,0.041037,-0.025529,0.013986,-0.044432,0.022222,1.192057,0.7335,0.910115,0.089564,0.099679,-0.07904,-0.001012,0.026637,1.192057,0.750653
mm/dd/yyyy,,WT,,,20X,Microwell,19,1,16,1,79,1.070133,0.261851,20.837919,0.02503,0.011931,0.043946,-0.010415,0.010991,-0.026519,0,1.196571,0.54539,0.829064,0.163334,0.072027,-0.110503,-0.001494,0.017333,1.196571,0.54539
mm/dd/yyyy,,WT,,,20X,Microwell,19,1,16,2,353,0.73043,0.026756,34.991462,0.017046,0.019945,0.072027,-0.00864,0.005583,-0.019818,0.00365,1.196571,0.54539,0.829064,0.163334,0.072027,-0.110503,-0.001494,0.017333,1.196571,0.54539
mm/dd/yyyy,,WT,,,20X,Microwell,20,1,16,1,80,2.677043,1.601118,10.486937,0.18609,0.117895,0.322484,-0.134133,0.069161,-0.219156,0,2.677043,0.822894,0.984011,0.242554,0.322484,-0.242234,-0.00051,0.042716,1.048586,0.826335
mm/dd/yyyy,,WT,,,20X,Microwell,20,1,16,2,162,1.008997,0.060172,43.692566,0.010646,0.008784,0.029454,-0.027171,0.013508,-0.043219,0.012195,2.677043,0.822894,0.984011,0.242554,0.322484,-0.242234,-0.00051,0.042716,1.048586,0.826335
mm/dd/yyyy,,WT,,,20X,Microwell,20,1,16,3,349,1.00281,0.180705,15.009575,0.022135,0.016475,0.041735,-0.025047,0.014465,-0.046976,0.005348,2.677043,0.822894,0.984011,0.242554,0.322484,-0.242234,-0.00051,0.042716,1.048586,0.826335
mm/dd/yyyy,,WT,,,20X,Microwell,21,1,16,1,73,4.183906,3.804843,7.024609,0.728708,0.65307,1.645933,-0.222503,0.143005,-0.365086,0,4.183906,0.645295,0.872849,0.391661,1.645933,-0.638452,-0.001023,0.108157,1.130144,0.684182
mm/dd/yyyy,,WT,,,20X,Microwell,21,1,16,2,343,0.849152,0.205539,5.327959,0.031444,0.0425,0.08018,-0.037069,0.017389,-0.056633,0.003704,4.183906,0.645295,0.872849,0.391661,1.645933,-0.638452,-0.001023,0.108157,1.130144,0.684182
mm/dd/yyyy,,WT,,,20X,Microwell,21,1,16,3,356,0.853763,0.093809,7.786366,0.012228,0.014404,0.028824,-0.024967,0.015652,-0.039727,0.076923,4.183906,0.645295,0.872849,0.391661,1.645933,-0.638452,-0.001023,0.108157,1.130144,0.684182
mm/dd/yyyy,,WT,,,20X,Microwell,22,1,16,1,85,3.028542,2.290539,7.577062,0.233813,0.183847,0.468307,-0.338821,0.112182,-0.450723,0,3.028542,0.752578,0.98046,0.255234,0.468307,-0.450723,-0.000569,0.059558,1.076708,0.828427
mm/dd/yyyy,,WT,,,20X,Microwell,22,1,16,2,197,1.058229,0.102707,13.469731,0.019267,0.009491,0.02779,-0.021738,0.033248,-0.071408,0.008929,3.028542,0.752578,0.98046,0.255234,0.468307,-0.450723,-0.000569,0.059558,1.076708,0.828427
mm/dd/yyyy,,WT,,,20X,Microwell,22,1,16,3,286,1.009383,0.139629,2.131983,0.103889,0,0.103889,-0.03574,0,-0.03574,0.011236,3.028542,0.752578,0.98046,0.255234,0.468307,-0.450723,-0.000569,0.059558,1.076708,0.828427
mm/dd/yyyy,,WT,,,20X,Microwell,22,1,16,4,349,1.070441,0.302822,21.050559,0.058208,0.058764,0.160042,-0.022442,0.021903,-0.072017,0.015873,3.028542,0.752578,0.98046,0.255234,0.468307,-0.450723,-0.000569,0.059558,1.076708,0.828427
mm/dd/yyyy,,WT,,,20X,Microwell,25,1,16,1,78,1.019476,0.06337,29.960352,0.017337,0.012724,0.03834,-0.010276,0.008216,-0.028439,0,1.121685,0.623437,0.818698,0.13267,0.041615,-0.129613,-0.001124,0.016397,1.121685,0.631614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cut 9 and didn't quantify 2nd cut,,,,,,,,,,,,,,,,,,,,
