Cell,Peak_Time,Peak_Value,Plateau_Time,Plateau_Value,Half_Life,Rsquare,Num_Points
1,104,1.5631001973379,164,1.18614684811319,29.2011220281595,0.696839132824003,29
2,86,1.09469174372678,118,0.958632500447474,13.2781682152445,0.993872135571818,17
3,104,1.50444667145788,164,1.35861902993207,36.1864080139465,0.293451993886865,29
4,104,1.00767788368545,114,1.0018773351114,NaN,NaN,6
5,102,1.29716035053009,162,1.04290229276734,31.5594014180192,0.249372173957964,29
6,90,1.15336412632457,150,1.01200084928867,25.8429754131262,0.289775535058233,29
7,74,1.15786085860769,118,0.889663752052237,27.4000329030241,0.985532633718968,23
8,88,1.40306045452386,124,1.02292931059274,17.9103885950043,0.985092438557912,17
9,92,1.12297276093998,152,1.04152541133947,22.7836550440989,0.248861791979267,29
10,80,1.20951499513156,118,0.814464855938776,19.7695302818905,0.995453184704477,20
11,58,1,78,0.656815409570699,6.93206573796672,0.996717806760774,11
12,104,1.05981698626277,164,1.00667223418431,22.0454033056449,0.169278538152043,29
