Time,Mean1
0,0.70685282356037
2,0.70675767416621
4,0.708067209181623
6,0.71438964864612
8,0.715858774709121
10,0.724029200557778
12,0.734290385549697
14,0.746319021665882
16,0.749047314622013
18,0.754351741156791
20,0.760056774074495
22,0.772958537312167
24,0.782206105136068
26,0.789399873729858
28,0.794872873623121
30,0.809924411458009
32,0.829661057465313
34,0.837348300732127
36,0.840674487522516
38,0.855105065017386
40,0.868433765162552
42,0.885367222890918
44,0.905206970397328
46,0.925834589224464
48,0.947817645418086
50,0.956192100261503
52,0.969567097778198
54,0.98120261203645
56,0.993395577359376
58,1
60,1.02040003233289
62,1.05639870792387
64,1.07283637765225
66,1.08660804989282
68,1.09664899938743
70,1.14171157173404
72,1.18526264280056
74,1.21995138580566
76,1.2452046441441
78,1.28146162741558
80,1.30427161559155
82,1.34069112289117
84,1.36877145850994
86,1.40085260260949
88,1.41276377113918
90,1.41105175061183
92,1.4272439967249
94,1.43116371149257
96,1.42815975035583
98,1.45922785544524
100,1.49494039875435
102,1.53939262021304
104,1.5631001973379
106,1.57911987700129
108,1.59908701165139
110,1.64109587624711
112,1.66582916456428
114,1.67279555182409
116,1.68427709596261
118,1.69897591947256
124,2.33879120916666
126,2.44652601567867
128,2.37494537004975
130,2.27619952069303
132,2.16479521427447
134,2.04696744839976
136,1.91965432467077
138,1.78197257757119
140,1.64320324896799
142,1.52146286223471
144,1.42084514746067
146,1.34222139367042
148,1.28160645967352
150,1.22902192952235
152,1.2093671772373
154,1.19824734573015
156,1.18880204582506
158,1.19018258113172
160,1.19617643288771
162,1.18621382540852
164,1.18614684811319
166,1.19729838696683
168,1.20211195491186
170,1.21055567719565
172,1.20984023881079
174,1.21541095410847
176,1.21070982813459
178,1.21996351228468
180,1.22474591232724
182,1.22509552027062
184,1.23007689911974
186,1.2272556425957
188,1.22870757854593
190,1.23816539392319
192,1.24522004762382
194,1.25150022221733
196,1.2525976857234
198,1.25483267694387
200,1.25578096041693
202,1.26389071005659
204,1.26768723315021
206,1.27298689880754
208,1.27414945375716
210,1.26966271424233
212,1.26478647945409
214,1.26520598515509
216,1.26508094379311
218,1.26391808284172
220,1.2627240210695
222,1.26615213009311
224,1.26622258491304
226,1.26685817260104
228,1.26912219643439
230,1.26942508045831
232,1.26817273160905
234,1.2634951612801
236,1.25807201881072
238,1.25607493584858
