Acquisition Date,DIV,Genotype,Dish,Trial,Neuron,Peak Values, Peak Value Stdev,Peak Widths (s),Peak Widths Stdev (s),Mean Amplitude,Stdev Amplitude,Period (s),Stdev Period (s),Peak Rise Rate,Stdev Peak Rise Rate,Peak Fall Rate,Stdev Peak Fall Rate,Frequency (Hz),Stdev Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End,Score
6/1/18,7,WT,2,4,3,0.127708,0.010732,1.498989,0.143667,0.087412,0.019961,1.326154,0.231224,18.566455,4.013448,-3.959796,0.670875,0.171212,0.068886,31496.861,26469.842,28852.76289,1205.172924,1139.629,-269.841,0.27128,104.108601,28827.992,30455.398,3
6/1/18,7,WT,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
6/1/18,7,WT,2,4,5,0.109568,0.00112,0.995142,0.035645,0.071606,0.016224,0.958095,0.153611,15.432552,3.489838,-4.091882,0.580699,0.158006,0.079899,29894.891,25884.127,27759.91853,1019.338349,921.957,-289.157,0.327761,79.041586,27534.119,29500.357,1.5
6/1/18,7,WT,2,4,6,NaN,NaN,NaN,NaN,0.057477,0.004347,1,0,9.557064,2.280945,-3.715044,0.561978,0.027594,0,31584.625,26855.396,29361.42726,1341.174248,647.932,-264.317,0.562579,75.036412,27809.766,31184.678,1.5
6/1/18,7,WT,2,4,7,NaN,NaN,NaN,NaN,0.023895,0.0048,0.921538,0.142876,6.212612,1.282849,-4.346029,1.050228,0.183596,0.067145,33003.125,30901.023,31931.45961,409.020634,460.944,-356.614,0.103967,63.693739,31706.656,32330.354,1.5
6/1/18,7,WT,2,4,8,NaN,NaN,NaN,NaN,0.049391,0.00784,0.941818,0.133103,10.200634,2.255773,-4.037151,0.616939,0.132398,0.068526,30249.93,25982.225,28017.60834,1096.661647,644.189,-272.735,0.446676,81.937043,27097.74,29777.35,1
6/1/18,7,WT,2,4,9,NaN,NaN,NaN,NaN,0.063863,0.014185,1.0544,0.151385,16.444326,3.396793,-5.546579,1.188797,0.180272,0.079145,29301.777,26449.018,27779.51966,670.602125,956.645,-420.731,0.127978,90.413279,28043.629,28811.371,2.5
6/1/18,7,WT,2,4,10,NaN,NaN,NaN,NaN,0.047989,0.00966,0.753333,0.115971,11.797409,2.283628,-4.869866,0.753582,0.163633,0.078587,32889.254,29001.695,30877.12154,966.588275,806.597,-369.98,0.308374,105.657815,30370.4,32220.334,2
6/1/18,7,WT,2,4,11,NaN,NaN,NaN,NaN,0.065588,0.014212,0.955,0.129916,19.866282,3.915847,-4.624449,0.725143,0.152743,0.077569,27336.26,23840.543,25419.5322,823.32786,1027.377,-294.486,0.282467,91.696125,24934.863,26629.385,2
6/1/18,7,WT,2,4,12,NaN,NaN,NaN,NaN,0.050377,0.010016,0.853333,0.130879,11.880586,2.338935,-3.386814,0.552851,0.153046,0.070993,31477.355,27583.922,29375.65198,987.574356,712.832,-243.211,0.370874,79.33467,28747.209,30972.084,1.5
6/1/18,7,WT,2,4,13,NaN,NaN,NaN,NaN,0.040388,0.008554,0.755556,0.121242,8.987347,1.815923,-3.53773,0.488546,0.174851,0.064414,32156.5,29061.209,30448.92568,683.260134,566.912,-277.978,0.208279,76.867294,30087.898,31337.363,1.5
6/1/18,7,WT,2,4,14,NaN,NaN,NaN,NaN,0.050456,0.011242,0.801143,0.103803,12.737857,2.672444,-4.523859,0.777092,0.177971,0.069276,29938.629,26729.703,28031.07634,718.20732,748.369,-312.799,0.222642,96.868992,27987.66,29323.289,2
6/1/18,7,WT,2,4,15,NaN,NaN,NaN,NaN,0.035885,0.008103,0.810769,0.12162,7.655804,1.895533,-5.218089,0.749353,0.165248,0.069958,30070.416,27110.084,28375.14357,669.491702,498.972,-378.754,0.236454,91.743995,28139.227,29557.717,1.5
6/1/18,7,WT,2,4,16,NaN,NaN,NaN,NaN,0.026063,0.003071,0.8175,0.171561,4.46663,0.855719,-4.118279,0.630996,0.100197,0.060862,38011.363,34619.516,36555.11635,781.455037,411.243,-379.824,0.291293,91.355362,35546.816,37294.285,1.5
