Time,Mean1
0,-1.07337487641171
2,-0.976946672266159
4,-0.872014479887289
6,-0.80167328702685
8,-0.689216856634371
10,-0.591230132734806
12,-0.514605678391649
14,-0.441502198174564
16,-0.263221105317461
18,-0.189136013864004
20,-0.059413186392879
22,0.00332943888822856
24,0.105841382812438
26,0.239666438282985
28,0.379807542256884
30,0.466196864339924
32,0.588687329126689
34,0.664479693625884
36,0.738913108612159
38,0.822794276040337
40,0.930366305813708
42,0.985920616773883
44,1.05954998879116
46,1.18713058393854
48,1.29854469807581
50,1.40894350719585
52,1.49089601597709
54,1.55552771898916
56,1.68280431466251
58,1.77835309506757
60,1.99009510298113
62,2.17069984430119
64,2.25103494124728
66,2.38682642721439
68,2.51531980861579
70,2.56665097286246
72,2.66256343519374
74,2.7552783493446
76,2.73037165282215
78,2.70431439903052
80,2.75594189056868
82,2.72397925451311
84,2.70531329178457
86,2.67991625047521
88,2.58709299682093
90,2.53354953336904
92,2.39646125444007
94,2.24413529427353
96,2.14002934939423
98,1.94767122111351
100,1.73782047967661
102,1.60630092173076
104,1.47834861377498
106,1.37471789085605
108,1.24854169570606
110,1.1643131450566
112,1.09516104046595
114,1.09083704348113
116,1.03500457410898
118,1
124,3.98989343861215
126,0.984012911600738
128,0.0391546017689939
130,-0.0523080549853893
132,0.234239009457646
134,0.674390382787041
136,1.20464414623915
138,1.78238859575041
140,2.41755790266883
142,2.86293357605972
144,3.21478610528248
146,3.43896315552095
148,3.57992023333481
150,3.65073130662524
152,3.69901723379824
154,3.7405123139784
156,3.73722700291947
158,3.69352379821919
160,3.65856918271164
162,3.57371083286463
164,3.53767686088777
166,3.50112994347118
168,3.42741756982596
170,3.38027246849518
172,3.28170074695986
174,3.2290291530785
176,3.15037242824258
178,3.10665112767647
180,3.04335984081193
182,2.96307938337778
184,2.89140956770514
186,2.78071252631883
188,2.68695213130618
190,2.61086808017276
192,2.51915445544841
194,2.4368238377092
196,2.3713279455514
198,2.28443490676842
200,2.19506424142234
202,2.14538616648292
204,2.10757597950617
206,2.0408416645487
208,1.97404495572491
210,1.92668570047898
212,1.86998184112081
214,1.80866813178799
216,1.76103192239824
218,1.70346759784266
220,1.64496710175364
222,1.59337118006376
224,1.56184740548119
226,1.51131005117176
228,1.47045636766959
230,1.42888002486941
232,1.36280624496147
234,1.32012811899844
236,1.27228602717955
238,1.25414839792254
240,1.2096626644006
242,1.18642803475205
244,1.13047876898407
246,1.10051531060884
248,1.06683674326546
250,1.02660627573951
252,0.989977417849544
254,0.950254730731201
256,0.905898637022287
258,0.862125551929494
260,0.834909043330849
262,0.817988468004395
264,0.789347854951692
266,0.766981859542609
268,0.753154405120152
270,0.732650656199241
272,0.70058140187359
274,0.68346482889857
276,0.661198680717555
278,0.631470038300789
280,0.615569404735947
282,0.584659104753989
284,0.564568589998375
286,0.54729606971808
288,0.524637380510389
290,0.505230066603219
292,0.488766084338135
294,0.472320014322345
296,0.444473781787734
298,0.427839514683548
300,0.409483757718071
302,0.391944411925402
304,0.380526493299888
306,0.362758144546122
308,0.349028174230577
310,0.319431699382563
312,0.30071159162881
314,0.281623752227818
316,0.27078457116716
318,0.249478754601557
320,0.236314708654716
322,0.22645998224351
324,0.205690458391489
326,0.187435555194089
328,0.165431430896592
330,0.143352238030019
332,0.12140865732183
334,0.107880056739465
336,0.0870160149099321
338,0.0672197951757194
340,0.0442792398008198
342,0.0319095588035774
344,0.0197407349450137
346,0.00503475758961681
348,-0.0121996238992849
350,-0.0305717971658626
352,-0.0380862372743355
354,-0.0616779956409741
356,-0.082617275170144
358,-0.0960429935857561
360,-0.101587862193391
362,-0.119715919288212
364,-0.137650661842207
366,-0.153728740000683
368,-0.172920114195885
